location,doses
California,2182300
Alameda,731
Alpine,12459
Amador,68793
Butte,14485
Calaveras,4753
Colusa,411455
Contra Costa,5396
Del Norte,55366
El Dorado,245443
Fresno,7433
Glenn,39983
Humboldt,35651
Imperial,7296
Inyo,181002
Kern,21405
Kings,17109
Lake,5286
Lassen,2856523
Los Angeles,34918
Madera,113077
Marin,3351
Mariposa,37185
Mendocino,55000
Merced,3223
Modoc,8347
Mono,100061
Monterey,57461
Napa,32022
Nevada,965794
Orange,138710
Placer,5701
Plumas,596507
Riverside,378415
Sacramento,12954
San Benito,456733
San Bernardino,1239963
San Diego,325975
San Francisco,166402
San Joaquin,93159
San Luis Obispo,287810
San Mateo,122221
Santa Barbara,558213
Santa Clara,106587
Santa Cruz,38505
Shasta,1676
Sierra,13653
Siskiyou,110679
Solano,185177
Sonoma,140598
Stanislaus,24986
Sutter,12297
Tehama,2863
Trinity,101265
Tulare,20573
Tuolumne,255389
Ventura,68733
Yolo,12429
Yuba,2248120
